timestamp,priority_score,alert_level,reasons,telegram_msgs,whale_txs,twitter_engagement,telegram_sentiment,twitter_sentiment
2025-09-04 23:00:00,3,MEDIUM,고래 거래 급증 (z=4.34),1.0,55.0,0.0,0.6633,0.0
2025-09-03 19:00:00,3,MEDIUM,고래 거래 급증 (z=2.48),2.0,24.0,0.0,-0.3994,0.0
2025-09-03 01:00:00,3,MEDIUM,고래 거래 급증 (z=2.07),1.0,21.0,0.0,0.4215,0.0
2025-09-02 01:00:00,3,MEDIUM,고래 거래 급증 (z=3.48),2.0,36.0,0.0,0.1909,0.0
2025-09-01 23:00:00,3,MEDIUM,고래 거래 급증 (z=2.42),7.0,22.0,0.0,0.17827500000000002,0.0
2025-08-31 19:00:00,3,MEDIUM,고래 거래 급증 (z=2.26),0.0,20.0,0.0,0.0,0.0
2025-08-30 04:00:00,3,MEDIUM,고래 거래 급증 (z=2.02),1.0,25.0,1602.0,0.4278,0.0
2025-08-29 22:00:00,3,MEDIUM,고래 거래 급증 (z=2.45),2.0,27.0,191.0,0.0129,0.0
2025-08-29 01:00:00,3,MEDIUM,고래 거래 급증 (z=2.52),3.0,26.0,0.0,0.30395,0.0
2025-08-28 23:00:00,3,MEDIUM,고래 거래 급증 (z=2.03),2.0,21.0,0.0,-0.15415,0.0
2025-08-26 21:00:00,3,MEDIUM,고래 거래 급증 (z=3.02),2.0,86.0,40.0,0.3062,0.0
2025-08-26 13:00:00,3,MEDIUM,고래 거래 급증 (z=2.58),2.0,66.0,189.0,0.3141,0.0
2025-08-26 06:00:00,3,MEDIUM,고래 거래 급증 (z=2.16),3.0,50.0,0.0,0.151725,0.0
2025-08-25 02:00:00,3,MEDIUM,고래 거래 급증 (z=4.36),2.0,67.0,0.0,0.7553,0.0
2025-08-23 02:00:00,3,MEDIUM,고래 거래 급증 (z=2.06),1.0,126.0,0.0,0.0,0.0
2025-08-23 01:00:00,3,MEDIUM,고래 거래 급증 (z=3.61),2.0,177.0,0.0,0.4176,0.0
2025-08-23 00:00:00,3,MEDIUM,고래 거래 급증 (z=4.63),0.0,143.0,0.0,0.0,0.0
2025-08-22 19:00:00,3,MEDIUM,고래 거래 급증 (z=2.42),5.0,24.0,1066.0,0.08814166666666665,0.0
2025-08-21 19:00:00,3,MEDIUM,고래 거래 급증 (z=2.50),3.0,25.0,39.0,0.30352500000000004,0.0
2025-08-20 17:00:00,3,MEDIUM,고래 거래 급증 (z=2.22),3.0,27.0,508.0,0.09746666666666666,0.0
2025-08-19 17:00:00,3,MEDIUM,고래 거래 급증 (z=4.52),2.0,113.0,898.0,0.31875,0.13333333333333333
2025-08-17 10:00:00,3,MEDIUM,고래 거래 급증 (z=4.69),2.0,5632.0,0.0,0.4720999999999999,0.0
2025-08-15 20:00:00,3,MEDIUM,고래 거래 급증 (z=4.24),0.0,89.0,7.0,0.0,0.0
2025-08-15 11:00:00,3,MEDIUM,고래 거래 급증 (z=3.13),4.0,41.0,747.0,0.240875,0.0
2025-08-12 05:00:00,3,MEDIUM,고래 거래 급증 (z=2.20),8.0,27.0,0.0,0.0620625,0.0
2025-08-10 19:00:00,3,MEDIUM,고래 거래 급증 (z=2.11),0.0,22.0,11.0,0.0,0.0
2025-08-09 06:00:00,3,MEDIUM,고래 거래 급증 (z=3.42),0.0,41.0,0.0,0.0,0.0
2025-08-08 04:00:00,3,MEDIUM,고래 거래 급증 (z=3.74),5.0,74.0,2362.0,0.26465555555555553,0.6
2025-08-07 22:00:00,3,MEDIUM,고래 거래 급증 (z=2.45),1.0,19.0,35.0,0.0,0.2
2025-08-06 12:00:00,3,MEDIUM,고래 거래 급증 (z=3.50),4.0,28.0,704.0,-0.04266666666666671,1.0
2025-08-04 23:00:00,3,MEDIUM,고래 거래 급증 (z=4.59),2.0,106.0,0.0,0.42955,0.0
